bias_init_stdev,bias_max_value,bias_min_value,bias_mutate_power,generations_to_target,max_fitness_achieved,timestamp
0.1,2.0,-4.0,0.1,10,200.09999999999292,2024-12-05 14:29:08
0.1,2.0,-4.0,0.2,10,41.60000000000032,2024-12-05 14:29:40
