distance_to_pipe,current_y,velocity,pipe_y,y_error,action
-10,151.0,-6.0,139,144.0,1
-20,143.5,-7.5,139,20.25,0
350,200,0,140,3600,1
340,192.5,-7.5,140,2756.25,0
330,185.5,-7.0,140,2070.25,0
320,179.0,-6.5,140,1521.0,0
310,173.0,-6.0,140,1089.0,1
300,165.5,-7.5,140,650.25,1
290,158.0,-7.5,140,324.0,0
280,151.0,-7.0,140,121.0,0
270,144.5,-6.5,140,20.25,1
260,137.0,-7.5,140,9.0,0
250,130.0,-7.0,140,100.0,1
240,122.5,-7.5,140,306.25,0
230,115.5,-7.0,140,600.25,0
220,109.0,-6.5,140,961.0,1
210,101.5,-7.5,140,1482.25,0
200,94.5,-7.0,140,2070.25,0
190,88.0,-6.5,140,2704.0,0
180,82.0,-6.0,140,3364.0,0
170,76.5,-5.5,140,4032.25,0
160,71.5,-5.0,140,4692.25,0
150,67.0,-4.5,140,5329.0,0
140,63.0,-4.0,140,5929.0,1
130,55.5,-7.5,140,7140.25,0
120,48.5,-7.0,140,8372.25,0
110,42.0,-6.5,140,9604.0,0
100,36.0,-6.0,140,10816.0,0
90,30.5,-5.5,140,11990.25,0
80,25.5,-5.0,140,13110.25,0
70,21.0,-4.5,140,14161.0,0
60,17.0,-4.0,140,15129.0,0
50,13.5,-3.5,140,16002.25,0
40,10.5,-3.0,140,16770.25,0
30,8.0,-2.5,140,17424.0,0
20,6.0,-2.0,140,17956.0,0
350,200,0,140,3600,0
340,200.5,0.5,140,3660.25,0
330,201.5,1.0,140,3782.25,0
320,203.0,1.5,140,3969.0,0
310,205.0,2.0,140,4225.0,1
300,197.5,-7.5,140,3306.25,0
290,190.5,-7.0,140,2550.25,0
280,184.0,-6.5,140,1936.0,0
270,178.0,-6.0,140,1444.0,0
260,172.5,-5.5,140,1056.25,0
250,167.5,-5.0,140,756.25,0
240,163.0,-4.5,140,529.0,1
230,155.5,-7.5,140,240.25,0
220,148.5,-7.0,140,72.25,0
210,142.0,-6.5,140,4.0,0
200,136.0,-6.0,140,16.0,0
190,130.5,-5.5,140,90.25,1
180,123.0,-7.5,140,289.0,0
170,116.0,-7.0,140,576.0,0
160,109.5,-6.5,140,930.25,0
150,103.5,-6.0,140,1332.25,0
140,98.0,-5.5,140,1764.0,0
130,93.0,-5.0,140,2209.0,0
120,88.5,-4.5,140,2652.25,0
110,84.5,-4.0,140,3080.25,0
100,81.0,-3.5,140,3481.0,0
90,78.0,-3.0,140,3844.0,0
80,75.5,-2.5,140,4160.25,0
70,73.5,-2.0,140,4422.25,0
60,72.0,-1.5,140,4624.0,0
50,71.0,-1.0,140,4761.0,0
40,70.5,-0.5,140,4830.25,0
30,70.5,0.0,140,4830.25,0
20,71.0,0.5,140,4761.0,1
350,200,0,146,2916,0
340,200.5,0.5,146,2970.25,0
330,201.5,1.0,146,3080.25,0
320,203.0,1.5,146,3249.0,0
310,205.0,2.0,146,3481.0,0
300,207.5,2.5,146,3782.25,1
290,200.0,-7.5,146,2916.0,0
280,193.0,-7.0,146,2209.0,0
270,186.5,-6.5,146,1640.25,0
260,180.5,-6.0,146,1190.25,0
250,175.0,-5.5,146,841.0,0
240,170.0,-5.0,146,576.0,0
230,165.5,-4.5,146,380.25,0
220,161.5,-4.0,146,240.25,0
210,158.0,-3.5,146,144.0,0
200,155.0,-3.0,146,81.0,0
190,152.5,-2.5,146,42.25,0
180,150.5,-2.0,146,20.25,0
170,149.0,-1.5,146,9.0,1
160,141.5,-7.5,146,20.25,0
150,134.5,-7.0,146,132.25,0
140,128.0,-6.5,146,324.0,0
130,122.0,-6.0,146,576.0,0
120,116.5,-5.5,146,870.25,0
110,111.5,-5.0,146,1190.25,0
100,107.0,-4.5,146,1521.0,0
90,103.0,-4.0,146,1849.0,0
80,99.5,-3.5,146,2162.25,0
70,96.5,-3.0,146,2450.25,0
60,94.0,-2.5,146,2704.0,0
50,92.0,-2.0,146,2916.0,0
40,90.5,-1.5,146,3080.25,0
30,89.5,-1.0,146,3192.25,0
20,89.0,-0.5,146,3249.0,0
350,200,0,144,3136,1
340,192.5,-7.5,144,2352.25,0
330,185.5,-7.0,144,1722.25,0
320,179.0,-6.5,144,1225.0,0
310,173.0,-6.0,144,841.0,0
300,167.5,-5.5,144,552.25,0
290,162.5,-5.0,144,342.25,0
280,158.0,-4.5,144,196.0,0
270,154.0,-4.0,144,100.0,0
260,150.5,-3.5,144,42.25,0
