distance_to_pipe,current_y,velocity,pipe_y,y_error,action
230,239.0,6.0,200.0,1521.0,0
220,245.5,6.5,200.0,2070.25,0
210,252.5,7.0,200.0,2756.25,0
200,260.0,7.5,200.0,3600.0,0
190,268.0,8.0,200.0,4624.0,0
180,276.5,8.5,200.0,5852.25,0
170,285.5,9.0,200.0,7310.25,0
160,295.0,9.5,200.0,9025.0,0
150,305.0,10.0,200.0,10500.0,0
140,315.5,10.5,200.0,11550.0,0
130,326.5,11.0,200.0,12650.0,0
120,338.0,11.5,200.0,13800.0,1
110,330.5,-7.5,200.0,13050.0,0
100,323.5,-7.0,200.0,12350.0,0
90,317.0,-6.5,200.0,11700.0,0
80,311.0,-6.0,200.0,11100.0,0
70,305.5,-5.5,200.0,10550.0,0
60,300.5,-5.0,200.0,10050.0,0
50,296.0,-4.5,200.0,9216.0,0
40,292.0,-4.0,200.0,8464.0,0
30,288.5,-3.5,200.0,7832.25,0
20,285.5,-3.0,200.0,7310.25,0
350,200,0,223.0,529.0,0
340,200.5,0.5,223.0,506.25,0
330,201.5,1.0,223.0,462.25,0
320,203.0,1.5,223.0,400.0,0
310,205.0,2.0,223.0,324.0,0
300,207.5,2.5,223.0,240.25,0
290,210.5,3.0,223.0,156.25,0
280,214.0,3.5,223.0,81.0,0
270,218.0,4.0,223.0,25.0,0
260,222.5,4.5,223.0,0.25,0
250,227.5,5.0,223.0,20.25,0
240,233.0,5.5,223.0,100.0,0
230,239.0,6.0,223.0,256.0,0
220,245.5,6.5,223.0,506.25,0
210,252.5,7.0,223.0,870.25,0
200,260.0,7.5,223.0,1369.0,0
190,268.0,8.0,223.0,2025.0,0
180,276.5,8.5,223.0,2862.25,0
170,285.5,9.0,223.0,3906.25,0
160,295.0,9.5,223.0,5184.0,0
150,305.0,10.0,223.0,6724.0,0
140,315.5,10.5,223.0,8556.25,0
130,326.5,11.0,223.0,10350.0,0
120,338.0,11.5,223.0,11500.0,0
110,350.0,12.0,223.0,12700.0,0
100,362.5,12.5,223.0,13950.0,0
90,375.5,13.0,223.0,15250.0,0
350,200,0,204.0,16.0,0
340,200.5,0.5,204.0,12.25,0
330,201.5,1.0,204.0,6.25,0
320,203.0,1.5,204.0,1.0,0
310,205.0,2.0,204.0,1.0,0
300,207.5,2.5,204.0,12.25,0
290,210.5,3.0,204.0,42.25,0
280,214.0,3.5,204.0,100.0,0
270,218.0,4.0,204.0,196.0,0
260,222.5,4.5,204.0,342.25,0
250,227.5,5.0,204.0,552.25,0
240,233.0,5.5,204.0,841.0,0
230,239.0,6.0,204.0,1225.0,0
220,245.5,6.5,204.0,1722.25,0
210,252.5,7.0,204.0,2352.25,1
200,245.0,-7.5,204.0,1681.0,0
190,238.0,-7.0,204.0,1156.0,0
180,231.5,-6.5,204.0,756.25,0
170,225.5,-6.0,204.0,462.25,0
160,220.0,-5.5,204.0,256.0,0
150,215.0,-5.0,204.0,121.0,0
140,210.5,-4.5,204.0,42.25,0
130,206.5,-4.0,204.0,6.25,1
120,199.0,-7.5,204.0,25.0,0
110,192.0,-7.0,204.0,144.0,0
100,185.5,-6.5,204.0,342.25,0
90,179.5,-6.0,204.0,600.25,0
80,174.0,-5.5,204.0,900.0,0
70,169.0,-5.0,204.0,1225.0,0
60,164.5,-4.5,204.0,1560.25,1
50,157.0,-7.5,204.0,2209.0,0
40,150.0,-7.0,204.0,2916.0,0
30,143.5,-6.5,204.0,3660.25,1
20,136.0,-7.5,204.0,4624.0,0
10,129.0,-7.0,204.0,5625.0,0
350,200,0,198.0,4.0,1
340,192.5,-7.5,198.0,30.25,0
330,185.5,-7.0,198.0,156.25,0
320,179.0,-6.5,198.0,361.0,1
310,171.5,-7.5,198.0,702.25,0
300,164.5,-7.0,198.0,1122.25,0
290,158.0,-6.5,198.0,1600.0,0
280,152.0,-6.0,198.0,2116.0,0
270,146.5,-5.5,198.0,2652.25,0
260,141.5,-5.0,198.0,3192.25,0
250,137.0,-4.5,198.0,3721.0,1
240,129.5,-7.5,198.0,4692.25,0
230,122.5,-7.0,198.0,5700.25,0
220,116.0,-6.5,198.0,6724.0,0
210,110.0,-6.0,198.0,7744.0,0
200,104.5,-5.5,198.0,8742.25,1
190,97.0,-7.5,198.0,10100.0,0
180,90.0,-7.0,198.0,10800.0,0
170,83.5,-6.5,198.0,11450.0,0
160,77.5,-6.0,198.0,12050.0,0
150,72.0,-5.5,198.0,12600.0,0
140,67.0,-5.0,198.0,13100.0,0
130,62.5,-4.5,198.0,13550.0,0
120,58.5,-4.0,198.0,13950.0,1
110,51.0,-7.5,198.0,14700.0,0
100,44.0,-7.0,198.0,15400.0,1
90,36.5,-7.5,198.0,16150.0,0
80,29.5,-7.0,198.0,16850.0,0
70,23.0,-6.5,198.0,17500.0,0
60,17.0,-6.0,198.0,18100.0,0
50,11.5,-5.5,198.0,18650.0,1
40,4.0,-7.5,198.0,19400.0,0
350,200,0,183.0,289.0,1
340,192.5,-7.5,183.0,90.25,0
330,185.5,-7.0,183.0,6.25,0
320,179.0,-6.5,183.0,16.0,0
310,173.0,-6.0,183.0,100.0,0
300,167.5,-5.5,183.0,240.25,0
290,162.5,-5.0,183.0,420.25,0
280,158.0,-4.5,183.0,625.0,0
270,154.0,-4.0,183.0,841.0,0
260,150.5,-3.5,183.0,1056.25,0
250,147.5,-3.0,183.0,1260.25,0
240,145.0,-2.5,183.0,1444.0,0
230,143.0,-2.0,183.0,1600.0,0
220,141.5,-1.5,183.0,1722.25,0
210,140.5,-1.0,183.0,1806.25,0
200,140.0,-0.5,183.0,1849.0,0
190,140.0,0.0,183.0,1849.0,0
180,140.5,0.5,183.0,1806.25,1
170,133.0,-7.5,183.0,2500.0,0
160,126.0,-7.0,183.0,3249.0,0
150,119.5,-6.5,183.0,4032.25,0
140,113.5,-6.0,183.0,4830.25,0
130,108.0,-5.5,183.0,5625.0,0
120,103.0,-5.0,183.0,6400.0,0
110,98.5,-4.5,183.0,7140.25,0
100,94.5,-4.0,183.0,7832.25,0
90,91.0,-3.5,183.0,8464.0,1
80,83.5,-7.5,183.0,9900.25,0
70,76.5,-7.0,183.0,10650.0,1
60,69.0,-7.5,183.0,11400.0,0
50,62.0,-7.0,183.0,12100.0,1
40,54.5,-7.5,183.0,12850.0,0
30,47.5,-7.0,183.0,13550.0,0
20,41.0,-6.5,183.0,14200.0,0
350,200,0,191.0,81.0,0
340,200.5,0.5,191.0,90.25,0
330,201.5,1.0,191.0,110.25,0
320,203.0,1.5,191.0,144.0,0
310,205.0,2.0,191.0,196.0,0
300,207.5,2.5,191.0,272.25,0
290,210.5,3.0,191.0,380.25,0
280,214.0,3.5,191.0,529.0,0
270,218.0,4.0,191.0,729.0,0
260,222.5,4.5,191.0,992.25,0
250,227.5,5.0,191.0,1332.25,0
240,233.0,5.5,191.0,1764.0,0
230,239.0,6.0,191.0,2304.0,0
220,245.5,6.5,191.0,2970.25,0
210,252.5,7.0,191.0,3782.25,0
200,260.0,7.5,191.0,4761.0,0
190,268.0,8.0,191.0,5929.0,0
180,276.5,8.5,191.0,7310.25,0
170,285.5,9.0,191.0,8930.25,0
160,295.0,9.5,191.0,10400.0,0
150,305.0,10.0,191.0,11400.0,0
140,315.5,10.5,191.0,12450.0,0
130,326.5,11.0,191.0,13550.0,0
120,338.0,11.5,191.0,14700.0,0
110,350.0,12.0,191.0,15900.0,0
100,362.5,12.5,191.0,17150.0,0
90,375.5,13.0,191.0,18450.0,0
350,200,0,214.0,196.0,1
340,192.5,-7.5,214.0,462.25,0
330,185.5,-7.0,214.0,812.25,0
320,179.0,-6.5,214.0,1225.0,0
310,173.0,-6.0,214.0,1681.0,0
300,167.5,-5.5,214.0,2162.25,0
290,162.5,-5.0,214.0,2652.25,0
280,158.0,-4.5,214.0,3136.0,0
270,154.0,-4.0,214.0,3600.0,0
260,150.5,-3.5,214.0,4032.25,1
250,143.0,-7.5,214.0,5041.0,0
240,136.0,-7.0,214.0,6084.0,0
230,129.5,-6.5,214.0,7140.25,0
220,123.5,-6.0,214.0,8190.25,0
210,118.0,-5.5,214.0,9216.0,0
200,113.0,-5.0,214.0,10100.0,0
190,108.5,-4.5,214.0,10550.0,1
180,101.0,-7.5,214.0,11300.0,0
170,94.0,-7.0,214.0,12000.0,0
160,87.5,-6.5,214.0,12650.0,0
150,81.5,-6.0,214.0,13250.0,0
140,76.0,-5.5,214.0,13800.0,0
130,71.0,-5.0,214.0,14300.0,0
120,66.5,-4.5,214.0,14750.0,0
110,62.5,-4.0,214.0,15150.0,0
100,59.0,-3.5,214.0,15500.0,0
90,56.0,-3.0,214.0,15800.0,0
80,53.5,-2.5,214.0,16050.0,0
70,51.5,-2.0,214.0,16250.0,0
60,50.0,-1.5,214.0,16400.0,0
50,49.0,-1.0,214.0,16500.0,0
40,48.5,-0.5,214.0,16550.0,1
30,41.0,-7.5,214.0,17300.0,0
20,34.0,-7.0,214.0,18000.0,0
350,200,0,187.0,169.0,0
340,200.5,0.5,187.0,182.25,0
330,201.5,1.0,187.0,210.25,0
320,203.0,1.5,187.0,256.0,0
310,205.0,2.0,187.0,324.0,0
300,207.5,2.5,187.0,420.25,0
290,210.5,3.0,187.0,552.25,0
280,214.0,3.5,187.0,729.0,0
270,218.0,4.0,187.0,961.0,0
260,222.5,4.5,187.0,1260.25,0
250,227.5,5.0,187.0,1640.25,0
240,233.0,5.5,187.0,2116.0,0
230,239.0,6.0,187.0,2704.0,0
220,245.5,6.5,187.0,3422.25,0
210,252.5,7.0,187.0,4290.25,0
200,260.0,7.5,187.0,5329.0,0
190,268.0,8.0,187.0,6561.0,0
180,276.5,8.5,187.0,8010.25,0
170,285.5,9.0,187.0,9702.25,0
160,295.0,9.5,187.0,10800.0,0
150,305.0,10.0,187.0,11800.0,0
140,315.5,10.5,187.0,12850.0,0
130,326.5,11.0,187.0,13950.0,0
120,338.0,11.5,187.0,15100.0,0
110,350.0,12.0,187.0,16300.0,0
100,362.5,12.5,187.0,17550.0,0
90,375.5,13.0,187.0,18850.0,0
350,200,0,185.0,225.0,0
340,200.5,0.5,185.0,240.25,0
330,201.5,1.0,185.0,272.25,0
320,203.0,1.5,185.0,324.0,0
310,205.0,2.0,185.0,400.0,0
